Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"13B8C","13B8C","bcryptprimitives.dll",0.0306,2.9817,0.0306,2.9817
"2CA25","2CA25","bcryptprimitives.dll",0.0208,2.0267,0.0208,2.0267
"4FF7D","4FF7D","bcryptprimitives.dll",0.0207,2.0175,0.0207,2.0175
"50DAF","50DAF","bcryptprimitives.dll",0.0207,2.0162,0.0207,2.0162
"13B00","13B00","bcryptprimitives.dll",0.0205,2.0000,0.0205,2.0000
"2E4E","2E4E","bcryptprimitives.dll",0.0205,2.0000,0.0205,2.0000
"4FBC0","4FBC0","bcryptprimitives.dll",0.0205,2.0000,0.0205,2.0000
"51078","51078","bcryptprimitives.dll",0.0189,1.8412,0.0189,1.8412
"51042","51042","bcryptprimitives.dll",0.0174,1.6982,0.0174,1.6982
"13B85","13B85","bcryptprimitives.dll",0.0150,1.4567,0.0150,1.4567
"5108B","5108B","bcryptprimitives.dll",0.0121,1.1808,0.0121,1.1808
"51143","51143","bcryptprimitives.dll",0.0108,1.0537,0.0108,1.0537
"506F9","506F9","bcryptprimitives.dll",0.0103,1.0002,0.0103,1.0002
"2C730","2C730","bcryptprimitives.dll",0.0103,0.9994,0.0103,0.9994
"11B17","11B17","bcryptprimitives.dll",0.0103,0.9992,0.0103,0.9992
"2D74","2D74","bcryptprimitives.dll",0.0103,0.9990,0.0103,0.9990
"5802B","5802B","bcryptprimitives.dll",0.0102,0.9983,0.0102,0.9983
"13B0D","13B0D","bcryptprimitives.dll",0.0102,0.9968,0.0102,0.9968
"11B09","11B09","bcryptprimitives.dll",0.0102,0.9967,0.0102,0.9967
"502FA","502FA","bcryptprimitives.dll",0.0102,0.9934,0.0102,0.9934
"5867B","5867B","bcryptprimitives.dll",0.0102,0.9898,0.0102,0.9898
"51064","51064","bcryptprimitives.dll",0.0101,0.9873,0.0101,0.9873
"50BB9","50BB9","bcryptprimitives.dll",0.0101,0.9863,0.0101,0.9863
"50FD1","50FD1","bcryptprimitives.dll",0.0101,0.9801,0.0101,0.9801
"50E73","50E73","bcryptprimitives.dll",0.0100,0.9724,0.0100,0.9724
"13A50","13A50","bcryptprimitives.dll",0.0099,0.9657,0.0099,0.9657
"506AC","506AC","bcryptprimitives.dll",0.0018,0.1794,0.0018,0.1794
