Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"B718","B718","FLTMGR.SYS",0.0292,2.8449,0.0292,2.8449
"1DD39","1DD39","FLTMGR.SYS",0.0221,2.1558,0.0221,2.1558
"1D4D9","1D4D9","FLTMGR.SYS",0.0205,2.0000,0.0205,2.0000
"4987","4987","FLTMGR.SYS",0.0205,2.0000,0.0205,2.0000
"538F9","538F9","FLTMGR.SYS",0.0205,2.0000,0.0205,2.0000
"B700","B700","FLTMGR.SYS",0.0205,2.0000,0.0205,2.0000
"84E5","84E5","FLTMGR.SYS",0.0178,1.7331,0.0178,1.7331
"4860","4860","FLTMGR.SYS",0.0171,1.6670,0.0171,1.6670
"46CA","46CA","FLTMGR.SYS",0.0147,1.4279,0.0147,1.4279
"55B96","55B96","FLTMGR.SYS",0.0144,1.4053,0.0144,1.4053
"5CD7","5CD7","FLTMGR.SYS",0.0110,1.0707,0.0110,1.0707
"1541C","1541C","FLTMGR.SYS",0.0107,1.0385,0.0107,1.0385
"55626","55626","FLTMGR.SYS",0.0106,1.0339,0.0106,1.0339
"15419","15419","FLTMGR.SYS",0.0104,1.0155,0.0104,1.0155
"7D85","7D85","FLTMGR.SYS",0.0104,1.0128,0.0104,1.0128
"1E238","1E238","FLTMGR.SYS",0.0102,0.9971,0.0102,0.9971
"1D8D5","1D8D5","FLTMGR.SYS",0.0101,0.9804,0.0101,0.9804
"18439","18439","FLTMGR.SYS",0.0086,0.8345,0.0086,0.8345
"85E1","85E1","FLTMGR.SYS",0.0074,0.7196,0.0074,0.7196
"84F0","84F0","FLTMGR.SYS",0.0066,0.6399,0.0066,0.6399
"85B0","85B0","FLTMGR.SYS",0.0063,0.6154,0.0063,0.6154
