Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"12822","12822","msvcp140.dll",0.0514,5.0038,0.0514,5.0038
"3AA36","3AA36","msvcp140.dll",0.0306,2.9859,0.0306,2.9859
"117BD","117BD","msvcp140.dll",0.0205,2.0000,0.0205,2.0000
"14742","14742","msvcp140.dll",0.0205,1.9991,0.0205,1.9991
"6554","6554","msvcp140.dll",0.0127,1.2372,0.0127,1.2372
"AC40","AC40","msvcp140.dll",0.0103,1.0024,0.0103,1.0024
"127F5","127F5","msvcp140.dll",0.0103,1.0022,0.0103,1.0022
"2D5AA","2D5AA","msvcp140.dll",0.0103,1.0017,0.0103,1.0017
"45CB5","45CB5","msvcp140.dll",0.0103,1.0017,0.0103,1.0017
"15251","15251","msvcp140.dll",0.0103,1.0010,0.0103,1.0010
"12724","12724","msvcp140.dll",0.0103,1.0006,0.0103,1.0006
"12860","12860","msvcp140.dll",0.0103,1.0001,0.0514,5.0103
"B050","B050","msvcp140.dll",0.0102,0.9963,0.0102,0.9963
"12E0B","12E0B","msvcp140.dll",0.0102,0.9958,0.0102,0.9958
"12530","12530","msvcp140.dll",0.0101,0.9831,0.0101,0.9831
"5955","5955","msvcp140.dll",0.0100,0.9740,0.0100,0.9740
"3AA20","3AA20","msvcp140.dll",0.0045,0.4391,0.0045,0.4391
"22AD3","22AD3","msvcp140.dll",0.0038,0.3703,0.0038,0.3703
