Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"8F5D","8F5D","MSOARIA.DLL",0.0514,5.0066,0.0514,5.0066
"120CAE","120CAE","MSOARIA.DLL",0.0416,4.0559,0.0416,4.0559
"8947D","8947D","MSOARIA.DLL",0.0308,3.0036,0.0308,3.0036
"120C8B","120C8B","MSOARIA.DLL",0.0305,2.9706,0.0305,2.9706
"EF441","EF441","MSOARIA.DLL",0.0278,2.7062,0.0278,2.7062
"6951","6951","MSOARIA.DLL",0.0205,2.0004,0.0205,2.0004
"11C8E","11C8E","MSOARIA.DLL",0.0205,2.0000,0.0205,2.0000
"1217B6","1217B6","MSOARIA.DLL",0.0205,2.0000,0.0205,2.0000
"1218B9","1218B9","MSOARIA.DLL",0.0205,2.0000,0.0205,2.0000
"85EA3","85EA3","MSOARIA.DLL",0.0205,2.0000,0.0205,2.0000
"89AEE","89AEE","MSOARIA.DLL",0.0205,2.0000,0.0205,2.0000
"12196C","12196C","MSOARIA.DLL",0.0204,1.9919,0.0204,1.9919
"121956","121956","MSOARIA.DLL",0.0204,1.9887,0.0204,1.9887
"12191E","12191E","MSOARIA.DLL",0.0204,1.9883,0.0204,1.9883
"121982","121982","MSOARIA.DLL",0.0204,1.9879,0.0204,1.9879
"88436","88436","MSOARIA.DLL",0.0203,1.9827,0.0203,1.9827
"9D2FB","9D2FB","MSOARIA.DLL",0.0179,1.7402,0.0179,1.7402
"3BAA3","3BAA3","MSOARIA.DLL",0.0125,1.2211,0.0125,1.2211
"1234CD","1234CD","MSOARIA.DLL",0.0112,1.0930,0.0112,1.0930
"768E","768E","MSOARIA.DLL",0.0103,1.0056,0.0103,1.0056
"E7A6","E7A6","MSOARIA.DLL",0.0103,1.0044,0.0103,1.0044
"395A1","395A1","MSOARIA.DLL",0.0103,1.0043,0.0103,1.0043
"7C1C3","7C1C3","MSOARIA.DLL",0.0103,1.0038,0.0103,1.0038
"120C37","120C37","MSOARIA.DLL",0.0103,1.0033,0.0103,1.0033
"9BC63","9BC63","MSOARIA.DLL",0.0103,1.0033,0.0103,1.0033
"8A94","8A94","MSOARIA.DLL",0.0103,1.0030,0.0103,1.0030
"1235E6","1235E6","MSOARIA.DLL",0.0103,1.0028,0.0103,1.0028
"E26B","E26B","MSOARIA.DLL",0.0103,1.0021,0.0103,1.0021
"120B0A","120B0A","MSOARIA.DLL",0.0103,1.0014,0.0103,1.0014
"123578","123578","MSOARIA.DLL",0.0103,1.0014,0.0103,1.0014
"8A6BC","8A6BC","MSOARIA.DLL",0.0103,1.0012,0.0103,1.0012
"6260E","6260E","MSOARIA.DLL",0.0103,1.0011,0.0103,1.0011
"6C650","6C650","MSOARIA.DLL",0.0103,1.0010,0.0103,1.0010
"E5F9","E5F9","MSOARIA.DLL",0.0103,1.0010,0.0103,1.0010
"9E3C0","9E3C0","MSOARIA.DLL",0.0103,1.0004,0.0103,1.0004
"144A0","144A0","MSOARIA.DLL",0.0103,1.0002,0.0103,1.0002
"13706","13706","MSOARIA.DLL",0.0103,0.9997,0.0103,0.9997
"2FCF0","2FCF0","MSOARIA.DLL",0.0103,0.9996,0.0103,0.9996
"3B3C9","3B3C9","MSOARIA.DLL",0.0103,0.9991,0.0103,0.9991
"348CB","348CB","MSOARIA.DLL",0.0103,0.9987,0.0103,0.9987
"120C9B","120C9B","MSOARIA.DLL",0.0102,0.9981,0.0102,0.9981
"61A39","61A39","MSOARIA.DLL",0.0102,0.9979,0.0102,0.9979
"13718","13718","MSOARIA.DLL",0.0102,0.9978,0.0102,0.9978
"61B9F","61B9F","MSOARIA.DLL",0.0102,0.9974,0.0102,0.9974
"F5455","F5455","MSOARIA.DLL",0.0102,0.9974,0.0102,0.9974
"12178A","12178A","MSOARIA.DLL",0.0102,0.9966,0.0102,0.9966
