Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"3F723","3F723","MSO.DLL",0.0270,2.6319,0.0270,2.6319
"191DE","191DE","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"197A80","197A80","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"1F9F0","1F9F0","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"3F1F0","3F1F0","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"443FC","443FC","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"6A172","6A172","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"87F00C","87F00C","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"C41F1","C41F1","MSO.DLL",0.0205,2.0000,0.0205,2.0000
"15701","15701","MSO.DLL",0.0205,1.9981,0.0205,1.9981
"3F6D9","3F6D9","MSO.DLL",0.0198,1.9300,0.0198,1.9300
"80E83","80E83","MSO.DLL",0.0120,1.1687,0.0120,1.1687
"81751","81751","MSO.DLL",0.0117,1.1381,0.0117,1.1381
"3F6B8","3F6B8","MSO.DLL",0.0108,1.0561,0.0108,1.0561
"12D543D","12D543D","MSO.DLL",0.0105,1.0228,0.0105,1.0228
"1840E0","1840E0","MSO.DLL",0.0103,0.9994,0.0103,0.9994
"EC7E0","EC7E0","MSO.DLL",0.0102,0.9976,0.0102,0.9976
"89460","89460","MSO.DLL",0.0102,0.9904,0.0102,0.9904
"933C0","933C0","MSO.DLL",0.0101,0.9827,0.0101,0.9827
"693376","693376","MSO.DLL",0.0100,0.9758,0.0100,0.9758
"114A10","114A10","MSO.DLL",0.0091,0.8875,0.0091,0.8875
"44ADE2","44ADE2","MSO.DLL",0.0091,0.8850,0.0091,0.8850
"D1A50","D1A50","MSO.DLL",0.0080,0.7772,0.0080,0.7772
