Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"5F98","5F98","Windows.Web.dll",0.1672,16.2860,0.1672,16.2860
"5F87","5F87","Windows.Web.dll",0.0889,8.6617,0.0889,8.6617
"5F6C","5F6C","Windows.Web.dll",0.0736,7.1683,0.0736,7.1683
"5FAE","5FAE","Windows.Web.dll",0.0614,5.9785,0.0614,5.9785
"6019","6019","Windows.Web.dll",0.0479,4.6696,0.0479,4.6696
"6025","6025","Windows.Web.dll",0.0428,4.1746,0.0428,4.1746
"6014","6014","Windows.Web.dll",0.0310,3.0243,0.0310,3.0243
"5F93","5F93","Windows.Web.dll",0.0291,2.8317,0.0291,2.8317
"10441","10441","Windows.Web.dll",0.0280,2.7285,0.0280,2.7285
"5FB9","5FB9","Windows.Web.dll",0.0274,2.6696,0.0274,2.6696
"107E0","107E0","Windows.Web.dll",0.0206,2.0066,0.0206,2.0066
"122B0","122B0","Windows.Web.dll",0.0205,2.0000,0.0205,2.0000
"5F69","5F69","Windows.Web.dll",0.0205,2.0000,0.0205,2.0000
"6BCA","6BCA","Windows.Web.dll",0.0205,2.0000,0.0205,2.0000
"E5FE","E5FE","Windows.Web.dll",0.0205,2.0000,0.0205,2.0000
"E7AD","E7AD","Windows.Web.dll",0.0205,2.0000,0.0205,2.0000
"535A","535A","Windows.Web.dll",0.0203,1.9804,0.0203,1.9804
"4B43","4B43","Windows.Web.dll",0.0202,1.9688,0.0202,1.9688
"5B010","5B010","Windows.Web.dll",0.0173,1.6875,0.0173,1.6875
"6022","6022","Windows.Web.dll",0.0172,1.6745,0.0172,1.6745
"5F77","5F77","Windows.Web.dll",0.0165,1.6064,0.0165,1.6064
"109B8","109B8","Windows.Web.dll",0.0164,1.5937,0.0164,1.5937
"6028","6028","Windows.Web.dll",0.0156,1.5180,0.0156,1.5180
"5519","5519","Windows.Web.dll",0.0156,1.5154,0.0156,1.5154
"141C0","141C0","Windows.Web.dll",0.0147,1.4297,0.0147,1.4297
"179F0","179F0","Windows.Web.dll",0.0144,1.4056,0.0144,1.4056
"52E1","52E1","Windows.Web.dll",0.0137,1.3346,0.0137,1.3346
"122BD","122BD","Windows.Web.dll",0.0133,1.2999,0.0133,1.2999
"5FA3","5FA3","Windows.Web.dll",0.0123,1.2013,0.0123,1.2013
"E657","E657","Windows.Web.dll",0.0110,1.0755,0.0110,1.0755
"1692A","1692A","Windows.Web.dll",0.0107,1.0429,0.0107,1.0429
"24B6","24B6","Windows.Web.dll",0.0104,1.0149,0.0104,1.0149
"62AD","62AD","Windows.Web.dll",0.0103,1.0023,0.0103,1.0023
"91A9","91A9","Windows.Web.dll",0.0102,0.9981,0.0102,0.9981
"E903","E903","Windows.Web.dll",0.0102,0.9976,0.0102,0.9976
"4DF5","4DF5","Windows.Web.dll",0.0102,0.9972,0.0102,0.9972
"901E","901E","Windows.Web.dll",0.0102,0.9943,0.0102,0.9943
"5820","5820","Windows.Web.dll",0.0102,0.9939,0.0102,0.9939
"8E4A","8E4A","Windows.Web.dll",0.0102,0.9903,0.0102,0.9903
"10216","10216","Windows.Web.dll",0.0089,0.8695,0.0089,0.8695
"16911","16911","Windows.Web.dll",0.0086,0.8338,0.0086,0.8338
