Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"195F3","195F3","oleaut32.dll",0.0320,3.1187,0.0320,3.1187
"1961D","1961D","oleaut32.dll",0.0191,1.8633,0.0191,1.8633
"1ADD3","1ADD3","oleaut32.dll",0.0145,1.4089,0.0145,1.4089
"9EA38","9EA38","oleaut32.dll",0.0111,1.0776,0.0111,1.0776
"1C058","1C058","oleaut32.dll",0.0109,1.0643,0.0109,1.0643
"198A9","198A9","oleaut32.dll",0.0106,1.0369,0.0106,1.0369
"A0010","A0010","oleaut32.dll",0.0105,1.0188,0.0105,1.0188
"19608","19608","oleaut32.dll",0.0082,0.8022,0.0082,0.8022
"1A1F0","1A1F0","oleaut32.dll",0.0082,0.7944,0.0082,0.7944
"19AAF","19AAF","oleaut32.dll",0.0040,0.3910,0.0040,0.3910
"1473C","1473C","oleaut32.dll",0.0022,0.2167,0.0022,0.2167
