Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"CFBE0","CFBE0","OLMAPI32.DLL",0.0205,2.0000,0.0205,2.0000
"295FF","295FF","OLMAPI32.DLL",0.0127,1.2337,0.0127,1.2337
"1845D7","1845D7","OLMAPI32.DLL",0.0114,1.1060,0.0114,1.1060
"B7C80","B7C80","OLMAPI32.DLL",0.0103,1.0075,0.0103,1.0075
"42410","42410","OLMAPI32.DLL",0.0103,1.0074,0.0103,1.0074
"108ACF","108ACF","OLMAPI32.DLL",0.0103,1.0025,0.0103,1.0025
"AF254","AF254","OLMAPI32.DLL",0.0102,0.9973,0.0102,0.9973
"966C7","966C7","OLMAPI32.DLL",0.0102,0.9958,0.0102,0.9958
"78730","78730","OLMAPI32.DLL",0.0102,0.9930,0.0102,0.9930
"8DCF5","8DCF5","OLMAPI32.DLL",0.0096,0.9358,0.0096,0.9358
"F13C4","F13C4","OLMAPI32.DLL",0.0095,0.9233,0.0095,0.9233
"1396E0","1396E0","OLMAPI32.DLL",0.0042,0.4115,0.0042,0.4115
