Name,WeightPercentage,DurationMs,ProcessId,CommandLine
"csrss",0.2313,0.0000,1464,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
"msedgewebview2",0.2268,0.0000,3156,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.29430.1000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.29430 IsWebView2/True (WebView2Version 139.0.3405.102)"" --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.20401.0.2000 --embedded-browser-webview=1 --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --js-flags=""--expose-gc --ms-user-locale="" --time-ticks-at-unix-epoch=-1755680330160127 --launch-time-ticks=31988846450 --always-read-main-dll --metrics-shmem-handle=3592,i,13601118859329866100,3094116253972930061,2097152 --field-trial-handle=1948,i,16794949237765112"
"svchost",0.2208,0.0000,4024,"C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p"
"ctfmon",0.1892,0.0000,13824,"/QuitInfo:00000000000002BC;00000000000002C0; "
"SenseTracer",0.1577,0.0000,11924,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseTracer.exe"" -in:etw -trace -sequence -session:{351166AE-A94D-493D-B349-E26DEA024EBA} -event:4148 -timer:60 -provider:128126 -level:31 -d ""C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Trace"""
"svchost",0.1577,0.0000,10004,"C:\WINDOWS\System32\svchost.exe -k utcsvc -p"
"svchost",0.1547,0.0000,5360,"C:\WINDOWS\System32\svchost.exe -k LocalServiceNoNetwork -p -s DPS"
"OfficeClickToRun",0.1502,0.0000,5520,"""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"vmms",0.1216,0.0000,8072,"C:\WINDOWS\system32\vmms.exe"
"Microsoft.Engineering.FileVirtualization.Daemon",0.1171,0.0000,14020,"""C:\Users\benjaming.REDMOND\AppData\Local\VPack\VPackLegacy\Microsoft.Engineering.FileVirtualization.Daemon.exe"""
"svchost",0.1171,0.0000,11500,"C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s CDPUserSvc"
"Microsoft.Management.Services.IntuneWindowsAgent",0.1141,0.0000,6332,"""C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe"""
"MDMAppInstaller",0.1066,0.0000,9724,"""C:\WINDOWS\system32\MDMAppInstaller.exe"""
"MemCompression",0.1036,0.0000,4384,""
"TextInputHost",0.0991,0.0000,5764,"""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"" -ServerName:InputApp.AppXk0k6mrh4r2q0ct33a9wgbez0x7v9cz5y.mca"
"GlobalSecureAccessClient",0.0976,0.0000,21716,"""C:\Program Files\Global Secure Access Client\TrayApp\GlobalSecureAccessClient.exe"""
"pwsh",0.0976,0.0000,39536,"""C:\Program Files\PowerShell\7\pwsh.exe"""
"svchost",0.0976,0.0000,10244,"C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService"
"conhost",0.0961,567.5633,43904,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"SenseNdr",0.0946,0.0000,48664,"""C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe"" -"
"svchost",0.0946,0.0000,3228,"C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp"
"OpenConsole",0.0931,0.0000,38492,"""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.12111.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --textMeasurement graphemes --width 120 --height 30 --signal 0xa28 --server 0x944"
"svchost",0.0781,0.0000,3404,"C:\WINDOWS\system32\svchost.exe -k LocalService -p -s CDPSvc"
"msedgewebview2",0.0721,0.0000,21124,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView"" --webview-exe-name=ms-teams.exe --webview-exe-version=25227.201.3887.7121 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --no-pre-read-main-dll --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --enable-blink-features=IndexedDbGetAllRecords --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --js-flags=""--stack-trace-limit=50 --expose-gc --ms-user-locale=en-US"" --time-ticks-at-unix-epoch=-1755680330159115 --launch-time-ticks=32151898401 --always-read-main-dll --metrics-shmem-handle=4440,i,15304891087169025689,13205086796921645268,2097152 --field-trial-handle=1848,i,9232284790936083051,8827603450831"
"SearchIndexer",0.0691,0.0000,11340,"C:\WINDOWS\system32\SearchIndexer.exe /Embedding"
"svchost",0.0661,0.0000,3572,"C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm"
"svchost",0.0646,0.0000,4488,"C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache"
"msedgewebview2",0.0616,0.0000,30984,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=olk.exe --webview-exe-version=1.2025.806.300 --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Microsoft\Olk\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --disable-features=msEnhancedTrackingPreventionEnabled --enable-aggressive-domstorage-flushing --enable-features=msSingleSignOnOSForPrimaryAccountIsShared,msAbydos,msAbydosHandwritingAttr,msAbydosGestureSupport,msEnhancedTextContrast --mojo-named-platform-channel-pipe=16472.30956.517669952921803472 /pfhostedapp:a8877bbce1455e1e7d0708640add3c7185451dd9"
"qcmtusvc",0.0571,0.0000,5536,"""C:\Program Files (x86)\QUALCOMM Incorporated\Qualcomm USB Drivers For Windows\DriverPackage\Qualcomm\Tools\qcmtusvc.exe"""
"System",0.0541,648.3761,4,""
"CcmExec",0.0526,0.0000,3124,"C:\Windows\CCM\CcmExec.exe"
"svchost",0.0511,0.0000,4164,"C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain"
"wslservice",0.0496,0.0000,5492,"""C:\Program Files\WSL\wslservice.exe"""
"msedgewebview2",0.0451,0.0000,31928,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Microsoft\Olk\EBWebView"" --webview-exe-name=olk.exe --webview-exe-version=1.2025.806.300 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --js-flags=""--expose-gc --ms-user-locale="" --time-ticks-at-unix-epoch=-1755680330158751 --launch-time-ticks=32210482544 --always-read-main-dll --metrics-shmem-handle=4224,i,17895423284350772904,11130741382341777934,2097152 --field-trial-handle=1940,i,8033129406060731551,14143038207632028611,262144 --enable-features=ForceSWDCompWhenDCompFallbackRequired,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msAggressiveCacheTrimming,msCustomDataPartition,msEnhancedTextContrast,msSingleSignOn"
"schtasks",0.0451,46.3700,11152,"schtasks.exe /change /tn ""Microsoft\Office\Office Serviceability Manager"" /enable"
"csrss",0.0436,0.0000,1364,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,3072,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
"svchost",0.0421,0.0000,556,"C:\WINDOWS\System32\svchost.exe -k NetworkService -p"
"svchost",0.0421,0.0000,2920,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule"
"Notepad",0.0390,0.0000,27364,"""C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2507.28.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe"" RestartByRestartManager:*"
"schtasks",0.0390,93.1604,32492,"schtasks.exe /Create /tn ""Microsoft\Office\Office Serviceability Manager"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeSvcMgrSchedule_390M.xml"""
"msedgewebview2",0.0375,0.0000,15000,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=ms-teams.exe --webview-exe-version=25227.201.3887.7121 --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --disable-features=msEnhancedTrackingPreventionEnabled,BreakoutBoxPreferCaptureTimestampInVideoFrames,msWebOOUI --enable-blink-features=IndexedDbGetAllRecords --enable-features=msSingleSignOnOSForPrimaryAccountIsShared,AutofillReplaceCachedWebElementsByRendererIds,DocumentPolicyIncludeJSCallStacksInCrashReports,PartitionedCookies,PreferredAudioOutputDevices,SharedArrayBuffer,SkipGrantAccessToDataPathIfAlreadySet,ThirdPartyStoragePartitioning,msAbydos,msAbydosGestureSupport,msAbydosHandwritingAttr,msWebView2EnableDraggableRegions,msWebView2SetUserAgentOve"
"schtasks",0.0375,44.2041,23744,"schtasks.exe /Delete /F /tn ""Microsoft\Office\Office Serviceability Manager"""
"svchost",0.0375,0.0000,19072,"C:\WINDOWS\System32\svchost.exe -k UnistackSvcGroup"
"msedgewebview2",0.0360,0.0000,16868,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=SearchHost.exe --webview-exe-version=2125.20401.0.2000 --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disable-features=msSmartScreenProtection --edge-webview-enable-mojo-ipcz --enable-features=msEdgeFluentOverlayScrollbar --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.29430.1000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.29430 IsWebView2/True (WebView2Version 139.0.3405.102)"" --lang=en-US --mojo-named-platform-channel-pipe=5140.16840.14487594390742658058 /pfhostedapp:f1b3cc9189bc16db4ff1ff60d85fd8edd4446ca1"
"POWERPNT",0.0360,0.0000,36284,"""C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE"" "
"conhost",0.0345,6120.8743,39060,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"schtasks",0.0345,45.0367,13884,"schtasks.exe /change /tn ""Microsoft\Office\Office Serviceability Manager"" /enable"
"PAD.BridgeToUIAutomation2",0.0330,0.0000,22796,"""C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2508.104.0_x64__8wekyb3d8bbwe\dotnet\PAD.BridgeToUIAutomation2.exe"" --guid=79f94607-a7ed-4833-8f7b-d83b11f6a29c --callerProcessId=21472 --service=""uia2"""
"schtasks",0.0330,36.2390,11528,"schtasks.exe /change /tn ""Microsoft\Office\Office Serviceability Manager"" /enable"
"SenseAP",0.0330,0.0000,11848,"-"
"svchost",0.0330,0.0000,9792,"C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup -s WpnUserService"
"CrossDeviceService",0.0315,0.0000,15808,"""C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25082.21.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"" "
"EpmService",0.0315,0.0000,5440,"""C:\Program Files\Microsoft EPM Agent\EPMService\EpmService.exe"""
"conhost",0.0300,84.4341,42996,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"conhost",0.0300,40.9768,45792,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"ServiceHub.Host.dotnet.x64",0.0300,0.0000,18732,"""C:\Program Files\Microsoft Visual Studio\2022\Enterprise\Common7\ServiceHub\Hosts\ServiceHub.Host.dotnet.x64\ServiceHub.Host.dotnet.x64.exe"" dotnet$C94B8CFE-E3FD-4BAF-A941-2866DBB566FE net.pipe://1978095EEE757A78F755D74184C209DDF30C6 ""/TelemetrySession:{\""TelemetryLevel\"":null,\""IsOptedIn\"":true,\""HostName\"":\""Dev14\"",\""AppInsightsInstrumentationKey\"":\""f144292e-e3b2-4011-ac90-20e5c03fbce5\"",\""AsimovInstrumentationKey\"":\""AIF-312cbd79-9dbb-4c48-a7da-3cc2a931cb70\"",\""CollectorApiKey\"":\""f3e86b4023cc43f0be495508d51f588a-f70d0e59-0fb0-4473-9f19-b4024cc340be-7296\"",\""AppId\"":1001,\""UserId\"":\""2dba2122-c8a1-45b6-ac82-001f5865d3e3\"",\""Id\"":\""43746843-c2ce-42ef-9bc7-521b96990f7c\"",\""ProcessStartTime\"":638913092465839523,\""SkuName\"":\""VS_Enterprise\"",\""VSExeVersion\"":\""17.14.36408.4\"",\""BucketFiltersToEnableWatsonForFaults\"":[],\""BucketFiltersToAddDumpsToFaults\"":[]}"" $HostRemoteBrokerPipeName"
"dllhost",0.0270,0.0000,13556,"C:\WINDOWS\system32\DllHost.exe /Processid:{3EB3C877-1F16-487C-9050-104DBCD66683}"
"conhost",0.0255,39.7921,42372,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"svchost",0.0255,0.0000,5752,"C:\WINDOWS\system32\svchost.exe -k whesvc -p -s whesvc"
"svchost",0.0255,0.0000,5068,"C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository"
"conhost",0.0240,34.8336,45892,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"ms-teams",0.0240,0.0000,22920,"""C:\Program Files\WindowsApps\MSTeams_25227.201.3887.7121_x64__8wekyb3d8bbwe\ms-teams.exe"" --process_type=native_module --cloud_type=tfw --module_name=SlimCore --native_msg_channel=efae90c4-9140-4abd-9719-30e192fa1062_nm_SlimCore_c_ --session_id=e1192526-138d-4206-a043-c1f4914dc198    /prefetch:1"
"conhost",0.0225,32.5879,47800,"\??\C:\WINDOWS\system32\conhost.exe 0x4"
"svchost",0.0225,0.0000,3756,"C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog"
"msedgewebview2",0.0210,0.0000,23712,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=Files.exe --webview-exe-version=2.2508.8001.0 --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\Microsoft.M365Companions_8wekyb3d8bbwe\LocalState\Files\EBWebView"" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --disable-background-timer-throttling --disable-features=msEnhancedTrackingPreventionEnabled --mojo-named-platform-channel-pipe=24508.18624.12919052784708742098 /pfhostedapp:8d2be9d860645d1433e7026b8c330424301db0ff"
"powershell",0.0210,0.0000,23584,"C:\WINDOWS\system32\WindowsPowerShell\v1.0\powershell.exe -NoExit -Command ""& { Import-Module """"""$env:VSAPPIDDIR\..\Tools\Microsoft.VisualStudio.DevShell.dll""""""; Enter-VsDevShell -SkipAutomaticLocation -SetDefaultWindowTitle -InstallPath $env:VSAPPIDDIR\..\..\}"""
"StartMenuExperienceHost",0.0210,0.0000,15732,"""C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca"
"svchost",0.0210,0.0000,2616,"C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"OneDrive",0.0195,0.0000,19892,"""C:\Users\benjaming.REDMOND\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background"
"RuntimeBroker",0.0195,0.0000,14704,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
"SenseTVM",0.0195,0.0000,6464,"-"
"msedgewebview2",0.0180,0.0000,26776,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --type=renderer --noerrdialogs --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe\LocalState\EBWebView"" --webview-exe-name=WebViewHost.exe --webview-exe-version=19.2508.47021.0 --embedded-browser-webview=1 --embedded-browser-webview-dpi-awareness=2 --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1.25 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --js-flags=""--expose-gc --ms-user-locale="" --time-ticks-at-unix-epoch=-1755680330158914 --launch-time-ticks=32183936586 --always-read-main-dll --metrics-shmem-handle=3584,i,10806035289523513747,15074130377410245576,2097152 --field-trial-handle=1848,i,14228515077991255448,8574913679281551647,262144 --enable-features=ForceSWDCompWhenDCompFallbackRequired,msAggressiveCacheTrimming,msCustomDataPartition,msSingleSignOnOSForPrimaryAccountIs"
"msiexec",0.0150,0.0000,37100,"""C:\WINDOWS\system32\msiexec.exe"" /quiet  /l*v ""C:\WINDOWS\system32\config\systemprofile\AppData\Local\mdm\{72E753E8-1D66-468D-B882-EC8E61A87383}.log""  /qn /i ""C:\WINDOWS\system32\config\systemprofile\AppData\Local\mdm\{E1BF61B7-24EF-47F5-9396-1A6373DD3067}.msi"" "
"svchost",0.0150,0.0000,38520,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wlidsvc"
"AlertusDesktopAlert",0.0135,0.0000,25408,"""C:\Program Files (x86)\Alertus Technologies\Alertus Desktop\AlertusDesktopAlert.exe"" startup"
"msedgewebview2",0.0135,0.0000,8436,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --embedded-browser-webview=1 --webview-exe-name=Widgets.exe --webview-exe-version=525.22300.0.0 --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\LocalState\EBWebView"" --noerrdialogs --disk-cache-size=52428800 --edge-webview-is-background --lang=en-US --mojo-named-platform-channel-pipe=1224.13600.16636695828072262375 /pfhostedapp:1ec15097b557f7f931966541b3f105cc5a47009c"
"SearchHost",0.0135,0.0000,5140,"""C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"" -ServerName:CortanaUI.AppXstmwaab17q5s3y22tp6apqz7a45vwv65.mca"
"msedgewebview2",0.0120,0.0000,17148,"""C:\Program Files (x86)\Microsoft\EdgeWebView\Application\139.0.3405.102\msedgewebview2.exe"" --type=gpu-process --noerrdialogs --user-agent=""Mozilla/5.0 (Windows NT 10.0; Win64; x64; Cortana 1.18.9.23723; 10.0.0.0.29430.1000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.102 Safari/537.36 Edge/18.29430 IsWebView2/True (WebView2Version 139.0.3405.102)"" --user-data-dir=""C:\Users\benjaming.REDMOND\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\LocalState\EBWebView"" --webview-exe-name=SearchHost.exe --webview-exe-version=2125.20401.0.2000 --embedded-browser-webview=1 --no-pre-read-main-dll --gpu-preferences=SAAAAAAAAADgAAAIAAAAAAAAAAAAAGAAAQAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --always-read-main-dll --metrics-shmem-handle=1780,i,2211480256080778027,5783864341995588904,262144 --field-trial-handle=1948,i,16794949237765112938,10744838110969316530,262144 --enable-features=ForceSWDCompWhenDCompFallbackRequired,msAggressiveCacheTrimming,msCus"
"PhoneExperienceHost",0.0120,0.0000,21920,"""C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25072.63.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"" -ComServer:Background -Embedding"
"Registry",0.0120,0.0000,296,""
"svchost",0.0120,0.0000,2800,"C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi"
"WUDFHost",0.0120,0.0000,1908,"""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-157bda5c-7958-42b6-932a-775815584c1d -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-ea6da5aa-96d6-4ad3-8fac-4057f51c553e -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-cb543c0e-8a47-4a12-9bb9-f492b3ef63ed -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-7e87a0b2-c54f-4bcb-b359-0ed508c7843c -LifetimeId:4702324e-c675-4c94-bb36-d9e5639ea046 -DeviceGroupId:WudfDefaultDevicePool -HostArg:0"
"DlpUserAgent",0.0105,0.0000,5880,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\DlpUserAgent.exe"" "
