Name,WeightPercentage,DurationMs,ProcessId,CommandLine
"msiexec",15.8379,0.0000,43012,"C:\WINDOWS\system32\msiexec.exe /V"
"MsMpEng",15.0104,0.0000,7852,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\MsMpEng.exe"""
"POWERPNT",11.8762,0.0000,34376,"""C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE"" "
"svchost",7.5690,0.0000,7416,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s TokenBroker"
"System",6.0552,648.3761,4,""
"devenv",3.8146,0.0000,21220,"""C:\Program Files\Microsoft Visual Studio\2022\Enterprise\Common7\IDE\devenv.exe"" ""D:\profile-explorer\src\ProfileExplorer.sln"""
"MsSense",3.2469,0.0000,5500,"""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe"""
"backgroundTaskHost",3.2183,0.0000,46296,"""C:\WINDOWS\system32\BackgroundTaskHost.exe"" -ServerName:BackgroundTaskHost.WebAccountProvider"
"svchost",2.4074,0.0000,1248,"C:\WINDOWS\system32\svchost.exe -k RPCSS -p"
"WmiPrvSE",2.0800,0.0000,7156,"C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding"
"Idle",1.9553,0.0000,0,""
"svchost",1.9268,5.4607,3288,"C:\WINDOWS\system32\svchost.exe -k NetworkService -p"
"wpr",1.5874,1259.3971,16800,"""C:\WINDOWS\system32\wpr.exe"" -stop trace.etl"
"dwm",1.5694,0.0000,1356,"""dwm.exe"""
"lsass",1.4042,0.0000,1628,"C:\WINDOWS\system32\lsass.exe"
"RuntimeBroker",1.3546,0.0000,46356,"C:\Windows\System32\RuntimeBroker.exe -Embedding"
"services",1.2675,0.0000,1552,"C:\WINDOWS\system32\services.exe"
"NisSrv",1.2300,0.0000,2608,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\NisSrv.exe"""
"svchost",1.0873,0.0000,2312,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager"
"powershell",0.9296,576.2559,49428,"""powershell.exe"" ""C:\WINDOWS\system32\config\systemprofile\AppData\Local\AzureSecurityPack\Watchdog.ps1"""
"sihost",0.8260,0.0000,9192,"sihost.exe"
"svchost",0.8125,0.0000,8488,"C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s NetSetupSvc"
"ai",0.7839,785.5657,36368,"""C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\AI\ai.exe"" ""653D2B2D-4040-4765-AC6E-BE73CF322FDD"" ""54E1869C-B1D2-4ED1-AD42-18A506795C0F"" ""34376"" ""C:\Program Files\Microsoft Office\root\Office16\POWERPNT.EXE"" ""PowerPointCombinedFloatieLreOnline.onnx"""
"MpDlpService",0.7734,0.0000,11476,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\MpDlpService.exe"""
"explorer",0.7539,0.0000,8464,"C:\WINDOWS\Explorer.EXE"
"officesvcmgr",0.7058,6130.0417,40936,"officesvcmgr.exe /checkin {ea88725a-03af-4c5c-8c08-463fb7cbb8ef}"
"svchost",0.6923,0.0000,1876,"C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p"
"PAD.Console.Host",0.6428,0.0000,23092,"""C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2508.104.0_x64__8wekyb3d8bbwe\dotnet\PAD.Console.Host.exe"" "
"ms-teams",0.5842,0.0000,21028,"""C:\Program Files\WindowsApps\MSTeams_25227.201.3887.7121_x64__8wekyb3d8bbwe\ms-teams.exe"" msteams:system-initiated"
"Widgets",0.5647,0.0000,1224,"""C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.22301.0.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"" -ServerName:Microsoft.Windows.DashboardServer"
"GlobalSecureAccessTunnelingService",0.4175,0.0000,26060,"""C:\Program Files\Global Secure Access Client\GlobalSecureAccessTunnelingService.exe"""
"PAD.AutomationServer",0.3289,0.0000,21472,"""C:\Program Files\WindowsApps\Microsoft.PowerAutomateDesktop_11.2508.104.0_x64__8wekyb3d8bbwe\dotnet\PAD.AutomationServer.exe"" --ClientId=""2cfe3c41-985f-4b38-80be-aa4676b17dfb"" --CallerProcessId=23092 --ParentCorrelationId=""cb6575f3-d03c-4e44-a4d8-51de166d4689"" --SessionId=""d1c42f05-af17-4d69-9f35-2ed959314426"" "
"WindowsTerminal",0.3214,0.0000,49988,"""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.22.12111.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" "
"svchost",0.2838,0.0000,4944,"C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt"
"WmiPrvSE",0.2808,0.0000,8648,"C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding"
"GlobalSecureAccessEngineService",0.2718,0.0000,26340,"""C:\Program Files\Global Secure Access Client\GlobalSecureAccessEngineService.exe"""
"svchost",0.2343,0.0000,1212,"C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM"
