Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"4194F","4194F","rpcrt4.dll",0.0718,6.9930,0.0718,6.9930
"472A1","472A1","rpcrt4.dll",0.0380,3.7023,0.4707,45.8597
"444C0","444C0","rpcrt4.dll",0.0308,2.9981,0.0308,2.9981
"23CA2","23CA2","rpcrt4.dll",0.0212,2.0689,0.0212,2.0689
"27869","27869","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"280BD","280BD","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"2A4F9","2A4F9","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"49071","49071","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"4C270","4C270","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"6DB19","6DB19","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"72799","72799","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"B0FC","B0FC","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"BF9B","BF9B","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"CCB9","CCB9","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"D219A","D219A","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"D53AB","D53AB","rpcrt4.dll",0.0205,2.0000,0.0205,2.0000
"2A1E0","2A1E0","rpcrt4.dll",0.0178,1.7325,0.0178,1.7325
"575A4","575A4","rpcrt4.dll",0.0153,1.4894,0.0153,1.4894
"80745","80745","rpcrt4.dll",0.0141,1.3747,0.0141,1.3747
"479A0","479A0","rpcrt4.dll",0.0113,1.1043,0.0113,1.1043
"4553D","4553D","rpcrt4.dll",0.0108,1.0532,0.0108,1.0532
"7E6E0","7E6E0","rpcrt4.dll",0.0104,1.0172,0.0104,1.0172
"D53BB","D53BB","rpcrt4.dll",0.0103,0.9998,0.0103,0.9998
"95FE5","95FE5","rpcrt4.dll",0.0102,0.9951,0.0102,0.9951
"29D47","29D47","rpcrt4.dll",0.0102,0.9935,0.0102,0.9935
"21F22","21F22","rpcrt4.dll",0.0102,0.9920,0.0102,0.9920
"20BA2","20BA2","rpcrt4.dll",0.0101,0.9829,0.0101,0.9829
"1F5E0","1F5E0","rpcrt4.dll",0.0085,0.8320,0.0085,0.8320
