Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"12C4","12C4","win32u.dll",0.4115,40.0890,0.9964,97.0850
"ACE4","ACE4","win32u.dll",0.3096,30.1676,0.3096,30.1676
"13A4","13A4","win32u.dll",0.1884,18.3594,0.1884,18.3594
"12A4","12A4","win32u.dll",0.1679,16.3559,0.1679,16.3559
"2084","2084","win32u.dll",0.1015,9.8908,0.2308,22.4867
"1344","1344","win32u.dll",0.0920,8.9620,0.4832,47.0821
"3924","3924","win32u.dll",0.0824,8.0248,0.0824,8.0248
"4B44","4B44","win32u.dll",0.0715,6.9626,0.0715,6.9626
"1CE4","1CE4","win32u.dll",0.0618,6.0210,0.7041,68.5968
"9804","9804","win32u.dll",0.0616,6.0000,0.0616,6.0000
"5104","5104","win32u.dll",0.0515,5.0203,0.0515,5.0203
"16C4","16C4","win32u.dll",0.0354,3.4443,0.0763,7.4303
"5EE4","5EE4","win32u.dll",0.0299,2.9089,0.0299,2.9089
"1424","1424","win32u.dll",0.0286,2.7829,0.0286,2.7829
"B484","B484","win32u.dll",0.0281,2.7397,0.0281,2.7397
"2124","2124","win32u.dll",0.0239,2.3248,0.0239,2.3248
"3AE4","3AE4","win32u.dll",0.0238,2.3161,0.0238,2.3161
"20C4","20C4","win32u.dll",0.0234,2.2824,0.0234,2.2824
"1BE4","1BE4","win32u.dll",0.0228,2.2253,0.0228,2.2253
"4D24","4D24","win32u.dll",0.0215,2.0977,0.0215,2.0977
"CB84","CB84","win32u.dll",0.0213,2.0759,0.0213,2.0759
"93A4","93A4","win32u.dll",0.0211,2.0523,0.0211,2.0523
"1444","1444","win32u.dll",0.0205,2.0000,0.0205,2.0000
"14C4","14C4","win32u.dll",0.0205,2.0000,0.0205,2.0000
"15C4","15C4","win32u.dll",0.0205,2.0000,0.0205,2.0000
"20B0","20B0","win32u.dll",0.0205,2.0000,0.0205,2.0000
"26E4","26E4","win32u.dll",0.0205,2.0000,0.0205,2.0000
"2BA4","2BA4","win32u.dll",0.0205,2.0000,0.0205,2.0000
"9CE4","9CE4","win32u.dll",0.0205,2.0000,0.0205,2.0000
"C784","C784","win32u.dll",0.0182,1.7695,0.0182,1.7695
"A044","A044","win32u.dll",0.0181,1.7659,0.0181,1.7659
"9A64","9A64","win32u.dll",0.0176,1.7141,0.0176,1.7141
"19E4","19E4","win32u.dll",0.0171,1.6671,0.0171,1.6671
"29A4","29A4","win32u.dll",0.0155,1.5056,0.0155,1.5056
"B9A4","B9A4","win32u.dll",0.0126,1.2282,0.0126,1.2282
"1704","1704","win32u.dll",0.0108,1.0518,0.0108,1.0518
"2C84","2C84","win32u.dll",0.0106,1.0342,0.0311,3.0342
"16A4","16A4","win32u.dll",0.0105,1.0207,0.0105,1.0207
"1364","1364","win32u.dll",0.0105,1.0204,0.0105,1.0204
"2804","2804","win32u.dll",0.0104,1.0127,0.0104,1.0127
"17A4","17A4","win32u.dll",0.0104,1.0126,0.0104,1.0126
"66C4","66C4","win32u.dll",0.0104,1.0118,0.0104,1.0118
"3584","3584","win32u.dll",0.0104,1.0091,0.0104,1.0091
"5444","5444","win32u.dll",0.0103,1.0042,0.0103,1.0042
"13C4","13C4","win32u.dll",0.0103,1.0041,0.0103,1.0041
"21C4","21C4","win32u.dll",0.0103,1.0007,0.0103,1.0007
"21A4","21A4","win32u.dll",0.0102,0.9969,0.0102,0.9969
"1DE4","1DE4","win32u.dll",0.0102,0.9934,0.0102,0.9934
"6E64","6E64","win32u.dll",0.0101,0.9885,0.0101,0.9885
"24E4","24E4","win32u.dll",0.0101,0.9854,0.0101,0.9854
"1C84","1C84","win32u.dll",0.0101,0.9822,0.0101,0.9822
"12E0","12E0","win32u.dll",0.0101,0.9818,0.0101,0.9818
"8644","8644","win32u.dll",0.0100,0.9786,0.0100,0.9786
"2564","2564","win32u.dll",0.0095,0.9270,0.0095,0.9270
"2F24","2F24","win32u.dll",0.0092,0.8954,0.0092,0.8954
"5524","5524","win32u.dll",0.0064,0.6212,0.0064,0.6212
"4BE4","4BE4","win32u.dll",0.0062,0.6003,0.0062,0.6003
"A304","A304","win32u.dll",0.0012,0.1207,0.0012,0.1207
