Name,WeightPercentage,TimeMs
"ntdll.dll",42.9829,4187.8697
"ntoskrnl.exe",19.1921,1869.9106
"Mso20win32client.dll",3.7002,360.5168
"Mso40UIwin32client.dll",3.1944,311.2328
"Mso30win32client.dll",3.0746,299.5610
"AppvIsvSubsystems64.dll",2.9577,288.1724
"CI.dll",2.4513,238.8320
"win32u.dll",2.3402,228.0078
"ucrtbase.dll",2.1845,212.8341
"cng.sys",1.8954,184.6721
"combase.dll",1.7229,167.8598
"KernelBase.dll",1.7068,166.2996
"Windows.Web.dll",1.0492,102.2255
"MSOARIA.DLL",0.9638,93.9026
"vcruntime140.dll",0.7893,76.9048
"rpcrt4.dll",0.5473,53.3289
"nvwgf2umx_cfg.dll",0.5245,51.1011
"DWrite.dll",0.5203,50.6927
"kernel32.dll",0.4280,41.6982
"bcryptprimitives.dll",0.3727,36.3167
"MSO.DLL",0.3535,34.4413
"Mso98win32client.dll",0.3271,31.8744
"WinTypes.dll",0.3239,31.5608
"crypt32.dll",0.3216,31.3348
"FLTMGR.SYS",0.2996,29.1923
"win32kbase.sys",0.2755,26.8409
"webio.dll",0.2639,25.7157
"msvcp140.dll",0.2565,24.9943
"imagehlp.dll",0.2559,24.9315
"mssecflt.sys",0.2482,24.1811
"Ntfs.sys",0.2077,20.2327
"wininet.dll",0.2050,19.9698
"dcomp.dll",0.2028,19.7562
"win32kfull.sys",0.1914,18.6439
"TextShaping.dll",0.1831,17.8370
"PPCORE.DLL",0.1794,17.4776
"Windows.Security.Authentication.Web.Core.dll",0.1667,16.2420
"WindowsCodecs.dll",0.1558,15.1791
"nvlddmkm.sys",0.1554,15.1444
"win32kbase_rs.sys",0.1511,14.7212
"MSPST32.DLL",0.1508,14.6954
"d3d11.dll",0.1351,13.1660
"oleaut32.dll",0.1313,12.7928
"WdFilter.sys",0.1296,12.6251
"OLMAPI32.DLL",0.1295,12.6138
"aitrx.dll",0.1207,11.7603
"d2d1.dll",0.1190,11.5927
"winhttp.dll",0.1032,10.0517
"user32.dll",0.1026,9.9937
"iertutil.dll",0.0967,9.4243
"dpapi.dll",0.0824,8.0252
"EMSMDB32.DLL",0.0822,8.0042
"CoreMessaging.dll",0.0821,7.9979
"fcon.dll",0.0816,7.9531
"ws2_32.dll",0.0718,6.9989
"xmllite.dll",0.0692,6.7412
"bcrypt.dll",0.0606,5.9067
"sechost.dll",0.0511,4.9804
"Wldap32.dll",0.0483,4.7034
"UIAutomationCore.dll",0.0458,4.4606
"webservices.dll",0.0451,4.3979
"bindflt.sys",0.0411,4.0000
"mswsock.dll",0.0317,3.0857
"uxtheme.dll",0.0310,3.0251
"MSPTLS.DLL",0.0309,3.0086
"Windows.StateRepositoryCore.dll",0.0255,2.4855
"FlightSettings.dll",0.0219,2.1378
"OneCoreUAPCommonProxyStub.dll",0.0207,2.0136
"C2R64.dll",0.0205,2.0000
"comctl32.dll",0.0205,2.0000
"fvevol.sys",0.0205,2.0000
"MicrosoftAccountWAMExtension.dll",0.0205,2.0000
"NETIO.SYS",0.0205,2.0000
"nvldumdx.dll",0.0205,2.0000
"PktMon.sys",0.0205,2.0000
"schannel.dll",0.0205,2.0000
"sspicli.dll",0.0205,2.0000
"vaultcli.dll",0.0205,2.0000
"Windows.Networking.Connectivity.dll",0.0205,2.0000
"gdi32full.dll",0.0196,1.9122
"dxgmms2.sys",0.0181,1.7622
"OART.DLL",0.0180,1.7555
"fileinfo.sys",0.0165,1.6067
"windows.storage.dll",0.0131,1.2783
"ksecdd.sys",0.0123,1.1984
"dhcpcsvc6.dll",0.0114,1.1154
"dxgkrnl.sys",0.0104,1.0173
"e1d.sys",0.0104,1.0148
"intelppm.sys",0.0104,1.0090
"Mso50win32client.dll",0.0103,1.0017
"ahcache.sys",0.0103,1.0001
"dxgi.dll",0.0102,0.9974
"wosc.dll",0.0102,0.9956
"msasn1.dll",0.0102,0.9943
"dhcpcsvc.dll",0.0102,0.9917
"cpprestsdk.dll",0.0102,0.9904
"IPHLPAPI.DLL",0.0102,0.9897
"msxml6.dll",0.0029,0.2836
