Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"2DE679","2DE679","ntoskrnl.exe",1.1227,109.3857,1.1227,109.3857
"C55ECC","C55ECC","ntoskrnl.exe",0.4941,48.1401,0.4941,48.1401
"624533","624533","ntoskrnl.exe",0.4337,42.2566,0.4337,42.2566
"C55B14","C55B14","ntoskrnl.exe",0.2866,27.9243,0.2866,27.9243
"2DE690","2DE690","ntoskrnl.exe",0.2498,24.3410,0.2498,24.3410
"2DE67E","2DE67E","ntoskrnl.exe",0.2114,20.5996,0.2114,20.5996
"2DE677","2DE677","ntoskrnl.exe",0.2061,20.0763,0.2061,20.0763
"2765CD","2765CD","ntoskrnl.exe",0.2013,19.6085,0.2013,19.6085
"73FB18","73FB18","ntoskrnl.exe",0.1922,18.7290,0.1922,18.7290
"2DE614","2DE614","ntoskrnl.exe",0.1707,16.6343,0.1707,16.6343
"2DE681","2DE681","ntoskrnl.exe",0.1629,15.8684,0.1629,15.8684
"626479","626479","ntoskrnl.exe",0.1571,15.3042,0.1571,15.3042
"2DE65B","2DE65B","ntoskrnl.exe",0.1505,14.6606,0.1505,14.6606
"2DE66A","2DE66A","ntoskrnl.exe",0.1303,12.6999,0.1303,12.6999
"2DE699","2DE699","ntoskrnl.exe",0.1288,12.5445,0.1288,12.5445
"2DE68E","2DE68E","ntoskrnl.exe",0.1258,12.2552,0.1258,12.2552
"27B4EA","27B4EA","ntoskrnl.exe",0.1257,12.2496,0.1257,12.2496
"271C15","271C15","ntoskrnl.exe",0.0983,9.5800,0.0983,9.5800
"734D6A","734D6A","ntoskrnl.exe",0.0941,9.1647,0.0941,9.1647
"624E98","624E98","ntoskrnl.exe",0.0929,9.0551,0.0929,9.0551
"516692","516692","ntoskrnl.exe",0.0927,9.0311,0.0927,9.0311
"2DE672","2DE672","ntoskrnl.exe",0.0881,8.5824,0.0881,8.5824
"624317","624317","ntoskrnl.exe",0.0850,8.2779,0.0850,8.2779
"2DB58C","2DB58C","ntoskrnl.exe",0.0834,8.1232,0.0834,8.1232
"2DE686","2DE686","ntoskrnl.exe",0.0833,8.1154,0.0833,8.1154
"2EC4BE","2EC4BE","ntoskrnl.exe",0.0820,7.9908,0.0820,7.9908
"27D181","27D181","ntoskrnl.exe",0.0787,7.6671,0.0787,7.6671
"2DB01E","2DB01E","ntoskrnl.exe",0.0735,7.1638,0.0735,7.1638
"26F364","26F364","ntoskrnl.exe",0.0727,7.0823,0.0727,7.0823
"8B6A30","8B6A30","ntoskrnl.exe",0.0718,6.9935,0.0718,6.9935
"6242A3","6242A3","ntoskrnl.exe",0.0698,6.8041,0.0698,6.8041
"27D187","27D187","ntoskrnl.exe",0.0697,6.7940,0.0697,6.7940
"C55875","C55875","ntoskrnl.exe",0.0697,6.7913,0.0697,6.7913
"73B512","73B512","ntoskrnl.exe",0.0671,6.5349,0.0671,6.5349
"2DE619","2DE619","ntoskrnl.exe",0.0667,6.4950,0.0667,6.4950
"2DE620","2DE620","ntoskrnl.exe",0.0661,6.4449,0.0661,6.4449
"62446E","62446E","ntoskrnl.exe",0.0658,6.4157,0.0658,6.4157
"62498D","62498D","ntoskrnl.exe",0.0641,6.2498,0.0641,6.2498
"27D0F8","27D0F8","ntoskrnl.exe",0.0636,6.1973,0.0636,6.1973
"2DB1B5","2DB1B5","ntoskrnl.exe",0.0627,6.1059,0.0627,6.1059
"624E19","624E19","ntoskrnl.exe",0.0618,6.0220,0.0618,6.0220
