Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"5923C","5923C","crypt32.dll",0.0218,2.1201,0.0218,2.1201
"5913B","5913B","crypt32.dll",0.0205,2.0000,0.0205,2.0000
"591F9","591F9","crypt32.dll",0.0205,2.0000,0.0205,2.0000
"11F128","11F128","crypt32.dll",0.0190,1.8500,0.0190,1.8500
"12972","12972","crypt32.dll",0.0177,1.7229,0.0177,1.7229
"76A93","76A93","crypt32.dll",0.0170,1.6530,0.0170,1.6530
"5B258","5B258","crypt32.dll",0.0145,1.4150,0.0145,1.4150
"72C61","72C61","crypt32.dll",0.0131,1.2757,0.0131,1.2757
"31617","31617","crypt32.dll",0.0126,1.2237,0.0126,1.2237
"13193","13193","crypt32.dll",0.0122,1.1929,0.0122,1.1929
"8EFD0","8EFD0","crypt32.dll",0.0103,1.0070,0.0103,1.0070
"6AFD2","6AFD2","crypt32.dll",0.0103,1.0037,0.3026,29.4840
"2D48F","2D48F","crypt32.dll",0.0103,1.0026,0.0103,1.0026
"6A127","6A127","crypt32.dll",0.0103,1.0015,0.0103,1.0015
"12F45","12F45","crypt32.dll",0.0103,1.0001,0.0103,1.0001
"12FFA","12FFA","crypt32.dll",0.0103,0.9997,0.0103,0.9997
"4D724","4D724","crypt32.dll",0.0102,0.9959,0.0102,0.9959
"A912","A912","crypt32.dll",0.0102,0.9952,0.0102,0.9952
"2D52","2D52","crypt32.dll",0.0102,0.9924,0.0102,0.9924
"D4F4","D4F4","crypt32.dll",0.0102,0.9924,0.0102,0.9924
"5BF00","5BF00","crypt32.dll",0.0102,0.9902,0.0102,0.9902
"D5EE","D5EE","crypt32.dll",0.0101,0.9863,0.0101,0.9863
"65AE9","65AE9","crypt32.dll",0.0101,0.9824,0.0101,0.9824
"12F4A","12F4A","crypt32.dll",0.0100,0.9705,0.0100,0.9705
"12F4F","12F4F","crypt32.dll",0.0099,0.9616,0.0099,0.9616
