Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"84970","84970","kernel32.dll",0.0411,4.0015,0.0411,4.0015
"7DC4","7DC4","kernel32.dll",0.0351,3.4154,0.0351,3.4154
"3B1B0","3B1B0","kernel32.dll",0.0308,2.9978,0.0308,2.9978
"1A6E0","1A6E0","kernel32.dll",0.0241,2.3454,0.0241,2.3454
"3E7E0","3E7E0","kernel32.dll",0.0216,2.1024,0.0216,2.1024
"1A5C3","1A5C3","kernel32.dll",0.0205,2.0002,0.0205,2.0002
"4EB80","4EB80","kernel32.dll",0.0205,2.0000,0.0205,2.0000
"6606","6606","kernel32.dll",0.0205,2.0000,0.0205,2.0000
"1A700","1A700","kernel32.dll",0.0205,1.9980,0.0205,1.9980
"5C1E","5C1E","kernel32.dll",0.0204,1.9913,0.0204,1.9913
"1A5E3","1A5E3","kernel32.dll",0.0110,1.0685,0.0110,1.0685
"5AFA","5AFA","kernel32.dll",0.0104,1.0154,0.0104,1.0154
"65F4","65F4","kernel32.dll",0.0103,1.0057,0.0103,1.0057
"6890","6890","kernel32.dll",0.0103,1.0012,0.0103,1.0012
"6646","6646","kernel32.dll",0.0103,1.0002,0.0103,1.0002
"2BD27","2BD27","kernel32.dll",0.0102,0.9974,0.0102,0.9974
"382C0","382C0","kernel32.dll",0.0102,0.9964,0.0102,0.9964
"79CB","79CB","kernel32.dll",0.0102,0.9948,0.0102,0.9948
"304A0","304A0","kernel32.dll",0.0102,0.9938,0.0102,0.9938
"6460","6460","kernel32.dll",0.0102,0.9918,0.0102,0.9918
"2BD40","2BD40","kernel32.dll",0.0102,0.9909,0.0102,0.9909
"5B88","5B88","kernel32.dll",0.0101,0.9884,0.0101,0.9884
"84973","84973","kernel32.dll",0.0100,0.9770,0.0100,0.9770
"5B8F","5B8F","kernel32.dll",0.0099,0.9661,0.0099,0.9661
"84980","84980","kernel32.dll",0.0084,0.8184,0.0084,0.8184
"68E7","68E7","kernel32.dll",0.0076,0.7366,0.0076,0.7366
"6650","6650","kernel32.dll",0.0058,0.5619,0.0058,0.5619
"36EA0","36EA0","kernel32.dll",0.0032,0.3086,0.0032,0.3086
"5B14","5B14","kernel32.dll",0.0025,0.2448,0.0025,0.2448
"3E800","3E800","kernel32.dll",0.0019,0.1883,0.0019,0.1883
