Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"20531","20531","win32kbase.sys",0.0210,2.0444,0.0210,2.0444
"14ED9","14ED9","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"18195","18195","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"1BAC28","1BAC28","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"1D71C4","1D71C4","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"20F73","20F73","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"8EB8E","8EB8E","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"CB8F5","CB8F5","win32kbase.sys",0.0205,2.0000,0.0205,2.0000
"208C9","208C9","win32kbase.sys",0.0171,1.6676,0.0171,1.6676
"B33BD","B33BD","win32kbase.sys",0.0124,1.2042,0.0124,1.2042
"1AD15","1AD15","win32kbase.sys",0.0115,1.1179,0.0115,1.1179
"C75BA","C75BA","win32kbase.sys",0.0107,1.0446,0.0107,1.0446
"C75B0","C75B0","win32kbase.sys",0.0104,1.0112,0.0104,1.0112
"2053B","2053B","win32kbase.sys",0.0103,1.0082,0.0103,1.0082
"C74CB","C74CB","win32kbase.sys",0.0101,0.9858,0.0101,0.9858
"140D0","140D0","win32kbase.sys",0.0101,0.9828,0.0101,0.9828
"31813","31813","win32kbase.sys",0.0079,0.7718,0.0079,0.7718
"E7467","E7467","win32kbase.sys",0.0072,0.7003,0.0072,0.7003
"1C71C","1C71C","win32kbase.sys",0.0031,0.3021,0.0031,0.3021
