Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"145E24","145E24","d2d1.dll",0.0214,2.0885,0.0214,2.0885
"4B8E0","4B8E0","d2d1.dll",0.0205,2.0000,0.0205,2.0000
"14758B","14758B","d2d1.dll",0.0105,1.0185,0.0105,1.0185
"76409","76409","d2d1.dll",0.0103,1.0072,0.0103,1.0072
"15CD47","15CD47","d2d1.dll",0.0102,0.9951,0.0102,0.9951
"76863","76863","d2d1.dll",0.0102,0.9920,0.0102,0.9920
"53D0D","53D0D","d2d1.dll",0.0102,0.9894,0.0102,0.9894
"14750D","14750D","d2d1.dll",0.0101,0.9827,0.0101,0.9827
"405C8","405C8","d2d1.dll",0.0087,0.8491,0.0087,0.8491
"E4182","E4182","d2d1.dll",0.0046,0.4449,0.0046,0.4449
"2E184E","2E184E","d2d1.dll",0.0023,0.2253,0.0023,0.2253
