Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"666AB","666AB","d3d11.dll",0.0308,3.0033,0.0308,3.0033
"5CC70","5CC70","d3d11.dll",0.0208,2.0290,0.0208,2.0290
"1730F1","1730F1","d3d11.dll",0.0205,2.0000,0.0205,2.0000
"457CF","457CF","d3d11.dll",0.0205,2.0000,0.0205,2.0000
"1886D3","1886D3","d3d11.dll",0.0108,1.0552,0.0108,1.0552
"337BF","337BF","d3d11.dll",0.0103,1.0066,0.0103,1.0066
"15AB77","15AB77","d3d11.dll",0.0101,0.9800,0.0101,0.9800
"15CA69","15CA69","d3d11.dll",0.0084,0.8137,0.0084,0.8137
"182B88","182B88","d3d11.dll",0.0029,0.2782,0.0029,0.2782
