Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"4200","4200","TextShaping.dll",0.0374,3.6468,0.0374,3.6468
"1CB7E","1CB7E","TextShaping.dll",0.0224,2.1797,0.0224,2.1797
"10760","10760","TextShaping.dll",0.0119,1.1578,0.0119,1.1578
"41FE","41FE","TextShaping.dll",0.0110,1.0676,0.0110,1.0676
"A788","A788","TextShaping.dll",0.0103,1.0066,0.0103,1.0066
"18F1","18F1","TextShaping.dll",0.0103,1.0029,0.0103,1.0029
"8E9B","8E9B","TextShaping.dll",0.0103,1.0015,0.0103,1.0015
"1BCDF","1BCDF","TextShaping.dll",0.0103,1.0010,0.0103,1.0010
"17E1A","17E1A","TextShaping.dll",0.0103,1.0002,0.0103,1.0002
"3F5A","3F5A","TextShaping.dll",0.0103,0.9988,0.0103,0.9988
"A811","A811","TextShaping.dll",0.0102,0.9981,0.0102,0.9981
"55FB","55FB","TextShaping.dll",0.0102,0.9974,0.0102,0.9974
"277D5","277D5","TextShaping.dll",0.0101,0.9832,0.0101,0.9832
"41C0","41C0","TextShaping.dll",0.0058,0.5691,0.0058,0.5691
"25F9","25F9","TextShaping.dll",0.0023,0.2263,0.0023,0.2263
