Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"B8F70","B8F70","KernelBase.dll",0.0576,5.6111,0.0576,5.6111
"3CEB0","3CEB0","KernelBase.dll",0.0561,5.4674,0.0561,5.4674
"4D2B0","4D2B0","KernelBase.dll",0.0456,4.4431,0.0456,4.4431
"63B9B","63B9B","KernelBase.dll",0.0411,4.0000,0.0411,4.0000
"69A8","69A8","KernelBase.dll",0.0356,3.4651,0.0356,3.4651
"5F6D0","5F6D0","KernelBase.dll",0.0310,3.0215,0.0310,3.0215
"73C1","73C1","KernelBase.dll",0.0308,3.0008,0.0308,3.0008
"3CB13","3CB13","KernelBase.dll",0.0308,2.9967,0.0308,2.9967
"9A7B0","9A7B0","KernelBase.dll",0.0308,2.9967,0.0308,2.9967
"73FB","73FB","KernelBase.dll",0.0307,2.9886,0.0307,2.9886
"3E008","3E008","KernelBase.dll",0.0307,2.9871,0.0307,2.9871
"7409","7409","KernelBase.dll",0.0306,2.9804,0.0306,2.9804
"C5C90","C5C90","KernelBase.dll",0.0295,2.8767,0.0295,2.8767
"6BF5","6BF5","KernelBase.dll",0.0283,2.7578,0.0283,2.7578
"FA110","FA110","KernelBase.dll",0.0271,2.6384,0.0271,2.6384
"3DFD1","3DFD1","KernelBase.dll",0.0220,2.1393,0.0220,2.1393
"3CEBC","3CEBC","KernelBase.dll",0.0206,2.0093,0.0206,2.0093
"11529","11529","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"37180","37180","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3BA5E","3BA5E","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3CB7E","3CB7E","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3CE99","3CE99","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3CF6E","3CF6E","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3DF33","3DF33","KernelBase.dll",0.0205,2.0000,0.1334,12.9928
"3E02C","3E02C","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"63589","63589","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"6983","6983","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"746C","746C","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"8A35","8A35","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"C363","C363","KernelBase.dll",0.0205,2.0000,0.0205,2.0000
"3E052","3E052","KernelBase.dll",0.0205,1.9986,0.0205,1.9986
"B8650","B8650","KernelBase.dll",0.0205,1.9976,0.0205,1.9976
"3E038","3E038","KernelBase.dll",0.0205,1.9956,0.0205,1.9956
"5FC07","5FC07","KernelBase.dll",0.0204,1.9884,0.0204,1.9884
"3E099","3E099","KernelBase.dll",0.0203,1.9752,0.0203,1.9752
"61856","61856","KernelBase.dll",0.0203,1.9749,0.0203,1.9749
"8A55","8A55","KernelBase.dll",0.0201,1.9621,0.0201,1.9621
"C30B0","C30B0","KernelBase.dll",0.0189,1.8421,0.0189,1.8421
"3CB48","3CB48","KernelBase.dll",0.0163,1.5835,0.0163,1.5835
"3CE52","3CE52","KernelBase.dll",0.0156,1.5238,0.0156,1.5238
"37B10","37B10","KernelBase.dll",0.0155,1.5097,0.0155,1.5097
"60F95","60F95","KernelBase.dll",0.0146,1.4230,0.0146,1.4230
"3E0A3","3E0A3","KernelBase.dll",0.0142,1.3851,0.0142,1.3851
"57EA3","57EA3","KernelBase.dll",0.0136,1.3220,0.0136,1.3220
"ABB80","ABB80","KernelBase.dll",0.0127,1.2395,0.0127,1.2395
"73F7","73F7","KernelBase.dll",0.0121,1.1787,0.0121,1.1787
"1336AA","1336AA","KernelBase.dll",0.0115,1.1212,0.0115,1.1212
"3E16D","3E16D","KernelBase.dll",0.0108,1.0480,0.0108,1.0480
"1FFE0","1FFE0","KernelBase.dll",0.0107,1.0396,0.0107,1.0396
"5AF40","5AF40","KernelBase.dll",0.0105,1.0185,0.0105,1.0185
"A1A0","A1A0","KernelBase.dll",0.0104,1.0092,0.0104,1.0092
"2EC90","2EC90","KernelBase.dll",0.0103,1.0056,0.0103,1.0056
"7439","7439","KernelBase.dll",0.0103,1.0041,0.0103,1.0041
"73CB","73CB","KernelBase.dll",0.0103,1.0028,0.0103,1.0028
"3DFAE","3DFAE","KernelBase.dll",0.0103,1.0024,0.0103,1.0024
"3CE93","3CE93","KernelBase.dll",0.0103,1.0022,0.0103,1.0022
"371D7","371D7","KernelBase.dll",0.0103,1.0021,0.0103,1.0021
"19C4B8","19C4B8","KernelBase.dll",0.0103,1.0010,0.0103,1.0010
"84E02","84E02","KernelBase.dll",0.0103,1.0004,0.0103,1.0004
"57EB8","57EB8","KernelBase.dll",0.0103,1.0000,0.0103,1.0000
"738B","738B","KernelBase.dll",0.0103,0.9994,0.0103,0.9994
"3F978","3F978","KernelBase.dll",0.0103,0.9989,0.0103,0.9989
"3DF46","3DF46","KernelBase.dll",0.0102,0.9985,0.0102,0.9985
"3CA8F","3CA8F","KernelBase.dll",0.0102,0.9980,0.0102,0.9980
"5D306","5D306","KernelBase.dll",0.0102,0.9977,0.0102,0.9977
"3B870","3B870","KernelBase.dll",0.0102,0.9976,0.0102,0.9976
"D6200","D6200","KernelBase.dll",0.0102,0.9976,0.0102,0.9976
"3E0AE","3E0AE","KernelBase.dll",0.0102,0.9971,0.0102,0.9971
"1AA8C","1AA8C","KernelBase.dll",0.0102,0.9970,0.0102,0.9970
"8A61","8A61","KernelBase.dll",0.0102,0.9966,0.0102,0.9966
"3DE2D","3DE2D","KernelBase.dll",0.0102,0.9960,0.0102,0.9960
"60EB8","60EB8","KernelBase.dll",0.0102,0.9958,0.0102,0.9958
"3EC93","3EC93","KernelBase.dll",0.0102,0.9956,0.0102,0.9956
"4D33C","4D33C","KernelBase.dll",0.0102,0.9953,0.0102,0.9953
"631B7","631B7","KernelBase.dll",0.0102,0.9953,0.0102,0.9953
"C2A0","C2A0","KernelBase.dll",0.0102,0.9951,0.0102,0.9951
"194DD7","194DD7","KernelBase.dll",0.0102,0.9942,0.0102,0.9942
"4DFCC","4DFCC","KernelBase.dll",0.0102,0.9939,0.0102,0.9939
"3CEC5","3CEC5","KernelBase.dll",0.0102,0.9938,0.0102,0.9938
"C1B70","C1B70","KernelBase.dll",0.0102,0.9933,0.0102,0.9933
"3E065","3E065","KernelBase.dll",0.0102,0.9930,0.0102,0.9930
"5EB6F","5EB6F","KernelBase.dll",0.0102,0.9930,0.0102,0.9930
"134C3","134C3","KernelBase.dll",0.0102,0.9926,0.0102,0.9926
"CC4F0","CC4F0","KernelBase.dll",0.0102,0.9925,0.0102,0.9925
"4EC59","4EC59","KernelBase.dll",0.0102,0.9924,0.0102,0.9924
"3E09C","3E09C","KernelBase.dll",0.0102,0.9915,0.0102,0.9915
"60FFA","60FFA","KernelBase.dll",0.0102,0.9914,0.0102,0.9914
"3CB17","3CB17","KernelBase.dll",0.0102,0.9912,0.0102,0.9912
"84E31","84E31","KernelBase.dll",0.0102,0.9912,0.0102,0.9912
"7449","7449","KernelBase.dll",0.0102,0.9906,0.0102,0.9906
"103430","103430","KernelBase.dll",0.0102,0.9896,0.0102,0.9896
"1345CE","1345CE","KernelBase.dll",0.0102,0.9891,0.0102,0.9891
"AD170","AD170","KernelBase.dll",0.0101,0.9870,0.0101,0.9870
"631B0","631B0","KernelBase.dll",0.0101,0.9856,0.0101,0.9856
"A521F","A521F","KernelBase.dll",0.0101,0.9840,0.0101,0.9840
"3CA0B","3CA0B","KernelBase.dll",0.0101,0.9837,0.0101,0.9837
"C78C0","C78C0","KernelBase.dll",0.0101,0.9830,0.0101,0.9830
"3E0A5","3E0A5","KernelBase.dll",0.0100,0.9759,0.0100,0.9759
"43470","43470","KernelBase.dll",0.0100,0.9709,0.0100,0.9709
"3CF72","3CF72","KernelBase.dll",0.0100,0.9705,0.0100,0.9705
"87FFF","87FFF","KernelBase.dll",0.0096,0.9400,0.0096,0.9400
"1AA32","1AA32","KernelBase.dll",0.0073,0.7088,0.0073,0.7088
"84DF0","84DF0","KernelBase.dll",0.0056,0.5440,0.0056,0.5440
"56970","56970","KernelBase.dll",0.0050,0.4909,0.0050,0.4909
"3CDBB","3CDBB","KernelBase.dll",0.0042,0.4136,0.0042,0.4136
