Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"A050","A050","mssecflt.sys",0.0334,3.2541,0.0334,3.2541
"3B4E8","3B4E8","mssecflt.sys",0.0316,3.0815,0.0316,3.0815
"A05E","A05E","mssecflt.sys",0.0205,2.0000,0.0205,2.0000
"606C","606C","mssecflt.sys",0.0202,1.9704,0.0202,1.9704
"A07B","A07B","mssecflt.sys",0.0166,1.6176,0.0166,1.6176
"2442B","2442B","mssecflt.sys",0.0162,1.5814,0.0162,1.5814
"3B467","3B467","mssecflt.sys",0.0114,1.1140,0.0114,1.1140
"350BE","350BE","mssecflt.sys",0.0112,1.0959,0.0112,1.0959
"FB7E","FB7E","mssecflt.sys",0.0106,1.0295,0.0106,1.0295
"32D2E","32D2E","mssecflt.sys",0.0103,1.0079,0.0103,1.0079
"34CD5","34CD5","mssecflt.sys",0.0103,1.0016,0.0103,1.0016
"34B5C","34B5C","mssecflt.sys",0.0103,1.0014,0.0103,1.0014
"3547A","3547A","mssecflt.sys",0.0103,0.9997,0.0103,0.9997
"38001","38001","mssecflt.sys",0.0102,0.9978,0.0102,0.9978
"FB2A","FB2A","mssecflt.sys",0.0083,0.8070,0.0083,0.8070
"A054","A054","mssecflt.sys",0.0080,0.7783,0.0080,0.7783
"23F26","23F26","mssecflt.sys",0.0067,0.6499,0.0067,0.6499
"3A0F4","3A0F4","mssecflt.sys",0.0020,0.1931,0.0020,0.1931
