Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"1FE78E","1FE78E","Ntfs.sys",0.0211,2.0539,0.0211,2.0539
"1B2672","1B2672","Ntfs.sys",0.0205,2.0000,0.0205,2.0000
"138F09","138F09","Ntfs.sys",0.0197,1.9175,0.0197,1.9175
"167EE4","167EE4","Ntfs.sys",0.0166,1.6162,0.0166,1.6162
"16BBEE","16BBEE","Ntfs.sys",0.0144,1.4078,0.0144,1.4078
"601D","601D","Ntfs.sys",0.0141,1.3760,0.0141,1.3760
"14F79C","14F79C","Ntfs.sys",0.0125,1.2137,0.0125,1.2137
"12BFB7","12BFB7","Ntfs.sys",0.0114,1.1072,0.0114,1.1072
"1FC8FF","1FC8FF","Ntfs.sys",0.0106,1.0337,0.0106,1.0337
"203C60","203C60","Ntfs.sys",0.0104,1.0169,0.0104,1.0169
"1CE04D","1CE04D","Ntfs.sys",0.0102,0.9953,0.0102,0.9953
"15070B","15070B","Ntfs.sys",0.0102,0.9921,0.0102,0.9921
"12C088","12C088","Ntfs.sys",0.0101,0.9873,0.0101,0.9873
"150326","150326","Ntfs.sys",0.0091,0.8862,0.0091,0.8862
"156B5","156B5","Ntfs.sys",0.0074,0.7173,0.0074,0.7173
"18CD0E","18CD0E","Ntfs.sys",0.0069,0.6705,0.0069,0.6705
"1B26BF","1B26BF","Ntfs.sys",0.0025,0.2411,0.0025,0.2411
