Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"2A55CD","2A55CD","nvwgf2umx_cfg.dll",0.0432,4.2095,0.0432,4.2095
"2A52E2","2A52E2","nvwgf2umx_cfg.dll",0.0411,4.0000,0.6455,62.8880
"2A5EEA","2A5EEA","nvwgf2umx_cfg.dll",0.0411,4.0000,0.0411,4.0000
"2BD760","2BD760","nvwgf2umx_cfg.dll",0.0411,4.0000,0.0411,4.0000
"2A5EC7","2A5EC7","nvwgf2umx_cfg.dll",0.0222,2.1592,0.0222,2.1592
"12A544D","12A544D","nvwgf2umx_cfg.dll",0.0210,2.0434,0.0210,2.0434
"116CE0","116CE0","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"12C342C","12C342C","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"29DC76","29DC76","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"5F000","5F000","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"ACE260","ACE260","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"B10A5E","B10A5E","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"B34DA0","B34DA0","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"BE9A2F","BE9A2F","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"C77044","C77044","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"C93902","C93902","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"C94C0C","C94C0C","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"C95F58","C95F58","nvwgf2umx_cfg.dll",0.0205,2.0000,0.0205,2.0000
"1FA9B0","1FA9B0","nvwgf2umx_cfg.dll",0.0133,1.2960,0.0133,1.2960
"D320DC","D320DC","nvwgf2umx_cfg.dll",0.0123,1.1943,0.0123,1.1943
"AC906C","AC906C","nvwgf2umx_cfg.dll",0.0109,1.0609,0.0109,1.0609
"B3B100","B3B100","nvwgf2umx_cfg.dll",0.0103,1.0060,0.0103,1.0060
"13BE37","13BE37","nvwgf2umx_cfg.dll",0.0103,0.9997,0.0103,0.9997
"EF0460","EF0460","nvwgf2umx_cfg.dll",0.0102,0.9902,0.0102,0.9902
"2A5ECD","2A5ECD","nvwgf2umx_cfg.dll",0.0015,0.1419,0.0015,0.1419
