Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"E29D5","E29D5","Mso40UIwin32client.dll",0.1230,11.9876,0.1230,11.9876
"E383B","E383B","Mso40UIwin32client.dll",0.0520,5.0628,0.0520,5.0628
"E3A0B","E3A0B","Mso40UIwin32client.dll",0.0410,3.9945,0.0730,7.1154
"50776","50776","Mso40UIwin32client.dll",0.0409,3.9862,0.0409,3.9862
"E3C1C","E3C1C","Mso40UIwin32client.dll",0.0405,3.9459,0.0405,3.9459
"E1EED","E1EED","Mso40UIwin32client.dll",0.0343,3.3378,0.0343,3.3378
"D460F","D460F","Mso40UIwin32client.dll",0.0337,3.2788,0.0337,3.2788
"6F785","6F785","Mso40UIwin32client.dll",0.0329,3.2042,0.0329,3.2042
"255B6","255B6","Mso40UIwin32client.dll",0.0311,3.0344,0.0311,3.0344
"AA93","AA93","Mso40UIwin32client.dll",0.0309,3.0112,0.0309,3.0112
"E3854","E3854","Mso40UIwin32client.dll",0.0308,3.0055,0.0308,3.0055
"AFA21","AFA21","Mso40UIwin32client.dll",0.0308,3.0046,0.0308,3.0046
"D4199","D4199","Mso40UIwin32client.dll",0.0308,2.9997,0.0308,2.9997
"E3848","E3848","Mso40UIwin32client.dll",0.0308,2.9971,0.0308,2.9971
"CF513","CF513","Mso40UIwin32client.dll",0.0308,2.9961,0.0308,2.9961
"5077C","5077C","Mso40UIwin32client.dll",0.0285,2.7781,0.0798,7.7726
"14383D","14383D","Mso40UIwin32client.dll",0.0282,2.7429,0.0282,2.7429
"E38F3","E38F3","Mso40UIwin32client.dll",0.0275,2.6773,0.0469,4.5660
"D4284","D4284","Mso40UIwin32client.dll",0.0272,2.6534,0.0272,2.6534
"14386C","14386C","Mso40UIwin32client.dll",0.0253,2.4667,0.0253,2.4667
"E3819","E3819","Mso40UIwin32client.dll",0.0247,2.4024,0.0247,2.4024
"D45C1","D45C1","Mso40UIwin32client.dll",0.0213,2.0791,0.0213,2.0791
"F1013","F1013","Mso40UIwin32client.dll",0.0213,2.0706,0.0213,2.0706
"D415C","D415C","Mso40UIwin32client.dll",0.0209,2.0350,0.0209,2.0350
"E2A35","E2A35","Mso40UIwin32client.dll",0.0208,2.0248,0.0208,2.0248
"166144","166144","Mso40UIwin32client.dll",0.0207,2.0134,0.0207,2.0134
"DF6A8","DF6A8","Mso40UIwin32client.dll",0.0206,2.0085,0.0206,2.0085
"18FD9A","18FD9A","Mso40UIwin32client.dll",0.0206,2.0070,0.0206,2.0070
"D4190","D4190","Mso40UIwin32client.dll",0.0206,2.0037,0.0206,2.0037
"BB119","BB119","Mso40UIwin32client.dll",0.0205,2.0021,0.0205,2.0021
"11E0FA","11E0FA","Mso40UIwin32client.dll",0.0205,2.0017,0.0205,2.0017
"E29D7","E29D7","Mso40UIwin32client.dll",0.0205,2.0014,0.0205,2.0014
"E2D75","E2D75","Mso40UIwin32client.dll",0.0205,2.0003,0.0205,2.0003
"123BA","123BA","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"126C16","126C16","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"14154","14154","Mso40UIwin32client.dll",0.0205,2.0000,0.0322,3.1381
"150583","150583","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"210D53","210D53","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"215A7","215A7","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"3DDA26","3DDA26","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"58A78","58A78","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"66147","66147","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"818D8","818D8","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"B687C","B687C","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"DD67B","DD67B","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"E2D6C","E2D6C","Mso40UIwin32client.dll",0.0205,2.0000,0.0205,2.0000
"E383D","E383D","Mso40UIwin32client.dll",0.0205,1.9994,0.0205,1.9994
"11E0D6","11E0D6","Mso40UIwin32client.dll",0.0205,1.9974,0.0205,1.9974
"E39B6","E39B6","Mso40UIwin32client.dll",0.0205,1.9974,0.0205,1.9974
"E34FF","E34FF","Mso40UIwin32client.dll",0.0205,1.9968,0.0205,1.9968
"E29E0","E29E0","Mso40UIwin32client.dll",0.0205,1.9949,0.0205,1.9949
"D4206","D4206","Mso40UIwin32client.dll",0.0205,1.9932,0.0205,1.9932
"D41A6","D41A6","Mso40UIwin32client.dll",0.0204,1.9896,0.0204,1.9896
"124885","124885","Mso40UIwin32client.dll",0.0196,1.9094,0.0196,1.9094
"E530F","E530F","Mso40UIwin32client.dll",0.0194,1.8861,0.0194,1.8861
"D4505","D4505","Mso40UIwin32client.dll",0.0193,1.8790,0.0193,1.8790
"95B12","95B12","Mso40UIwin32client.dll",0.0185,1.8010,0.0185,1.8010
"11BEA0","11BEA0","Mso40UIwin32client.dll",0.0165,1.6035,0.0165,1.6035
"E58B7","E58B7","Mso40UIwin32client.dll",0.0164,1.5975,0.0164,1.5975
"E2160","E2160","Mso40UIwin32client.dll",0.0160,1.5606,0.0160,1.5606
"1402D6","1402D6","Mso40UIwin32client.dll",0.0159,1.5474,0.0159,1.5474
"16A4F5","16A4F5","Mso40UIwin32client.dll",0.0155,1.5118,0.0155,1.5118
"E383F","E383F","Mso40UIwin32client.dll",0.0155,1.5097,0.0155,1.5097
"2220B","2220B","Mso40UIwin32client.dll",0.0154,1.5012,0.0154,1.5012
"54B14","54B14","Mso40UIwin32client.dll",0.0147,1.4369,0.0147,1.4369
"159335","159335","Mso40UIwin32client.dll",0.0144,1.4032,0.0144,1.4032
"E1ED6","E1ED6","Mso40UIwin32client.dll",0.0143,1.3894,0.0143,1.3894
"E3791","E3791","Mso40UIwin32client.dll",0.0132,1.2882,0.0132,1.2882
"E7564","E7564","Mso40UIwin32client.dll",0.0129,1.2574,0.0129,1.2574
"E1EE6","E1EE6","Mso40UIwin32client.dll",0.0126,1.2252,0.0126,1.2252
"D4279","D4279","Mso40UIwin32client.dll",0.0126,1.2251,0.0126,1.2251
"62F26","62F26","Mso40UIwin32client.dll",0.0122,1.1849,0.0122,1.1849
"14385B","14385B","Mso40UIwin32client.dll",0.0120,1.1649,2.9233,284.8250
"143834","143834","Mso40UIwin32client.dll",0.0114,1.1154,0.0114,1.1154
"4FD61","4FD61","Mso40UIwin32client.dll",0.0111,1.0807,0.0111,1.0807
"E19E3","E19E3","Mso40UIwin32client.dll",0.0108,1.0533,0.0108,1.0533
"FE709","FE709","Mso40UIwin32client.dll",0.0106,1.0353,0.0106,1.0353
"255C8","255C8","Mso40UIwin32client.dll",0.0106,1.0314,0.0106,1.0314
"53B4D","53B4D","Mso40UIwin32client.dll",0.0104,1.0172,0.0104,1.0172
"DF063","DF063","Mso40UIwin32client.dll",0.0104,1.0132,0.0104,1.0132
"810B9","810B9","Mso40UIwin32client.dll",0.0103,1.0075,0.0103,1.0075
"45120","45120","Mso40UIwin32client.dll",0.0103,1.0073,0.0103,1.0073
"113141","113141","Mso40UIwin32client.dll",0.0103,1.0072,0.0103,1.0072
"1A9006","1A9006","Mso40UIwin32client.dll",0.0103,1.0057,0.0103,1.0057
"D421C","D421C","Mso40UIwin32client.dll",0.0103,1.0053,0.0103,1.0053
"E448E","E448E","Mso40UIwin32client.dll",0.0103,1.0052,0.0103,1.0052
"FE73F","FE73F","Mso40UIwin32client.dll",0.0103,1.0051,0.4294,41.8400
"E2D5F","E2D5F","Mso40UIwin32client.dll",0.0103,1.0044,0.0103,1.0044
"6613D","6613D","Mso40UIwin32client.dll",0.0103,1.0043,0.0103,1.0043
"E64B0","E64B0","Mso40UIwin32client.dll",0.0103,1.0040,0.0103,1.0040
"E6AEB","E6AEB","Mso40UIwin32client.dll",0.0103,1.0039,0.0103,1.0039
"1B7286","1B7286","Mso40UIwin32client.dll",0.0103,1.0037,0.0103,1.0037
"D68A7","D68A7","Mso40UIwin32client.dll",0.0103,1.0035,0.0103,1.0035
"12757A","12757A","Mso40UIwin32client.dll",0.0103,1.0034,0.0103,1.0034
"E3909","E3909","Mso40UIwin32client.dll",0.0103,1.0033,0.0206,2.0027
"4B6A4","4B6A4","Mso40UIwin32client.dll",0.0103,1.0031,0.0103,1.0031
"D41FA","D41FA","Mso40UIwin32client.dll",0.0103,1.0029,0.0103,1.0029
"64E37","64E37","Mso40UIwin32client.dll",0.0103,1.0028,0.0103,1.0028
"E38E3","E38E3","Mso40UIwin32client.dll",0.0103,1.0028,0.0103,1.0028
"255F8","255F8","Mso40UIwin32client.dll",0.0103,1.0027,0.0103,1.0027
"E1EE0","E1EE0","Mso40UIwin32client.dll",0.0103,1.0024,0.0103,1.0024
"62C5F","62C5F","Mso40UIwin32client.dll",0.0103,1.0023,0.0103,1.0023
"D9F9E","D9F9E","Mso40UIwin32client.dll",0.0103,1.0021,0.0103,1.0021
"7B641","7B641","Mso40UIwin32client.dll",0.0103,1.0020,0.0103,1.0020
"E3B5A","E3B5A","Mso40UIwin32client.dll",0.0103,1.0020,0.0103,1.0020
"E37EE","E37EE","Mso40UIwin32client.dll",0.0103,1.0019,0.0103,1.0019
"255B3","255B3","Mso40UIwin32client.dll",0.0103,1.0018,0.0103,1.0018
"50300","50300","Mso40UIwin32client.dll",0.0103,1.0018,0.0103,1.0018
"E219C","E219C","Mso40UIwin32client.dll",0.0103,1.0017,0.0103,1.0017
"E21D7","E21D7","Mso40UIwin32client.dll",0.0103,1.0017,0.0103,1.0017
"E2CEA","E2CEA","Mso40UIwin32client.dll",0.0103,1.0016,0.0103,1.0016
"18B387","18B387","Mso40UIwin32client.dll",0.0103,1.0012,0.0103,1.0012
"1437E0","1437E0","Mso40UIwin32client.dll",0.0103,1.0010,0.0103,1.0010
"E1402","E1402","Mso40UIwin32client.dll",0.0103,1.0010,0.0103,1.0010
"E2192","E2192","Mso40UIwin32client.dll",0.0103,1.0010,0.0103,1.0010
"E2D4F","E2D4F","Mso40UIwin32client.dll",0.0103,1.0010,0.0103,1.0010
"11E0F5","11E0F5","Mso40UIwin32client.dll",0.0103,1.0007,0.0103,1.0007
"E2903","E2903","Mso40UIwin32client.dll",0.0103,1.0007,0.0103,1.0007
"E3770","E3770","Mso40UIwin32client.dll",0.0103,1.0007,0.0103,1.0007
"17AD61","17AD61","Mso40UIwin32client.dll",0.0103,1.0005,0.0103,1.0005
"51A13","51A13","Mso40UIwin32client.dll",0.0103,1.0005,0.0103,1.0005
"E2165","E2165","Mso40UIwin32client.dll",0.0103,1.0005,0.0103,1.0005
"3769BE","3769BE","Mso40UIwin32client.dll",0.0103,1.0004,0.0103,1.0004
"E3877","E3877","Mso40UIwin32client.dll",0.0103,1.0004,0.0103,1.0004
"157341","157341","Mso40UIwin32client.dll",0.0103,1.0003,0.0103,1.0003
"506F5","506F5","Mso40UIwin32client.dll",0.0103,1.0002,0.0103,1.0002
"E12F7","E12F7","Mso40UIwin32client.dll",0.0103,1.0002,0.0103,1.0002
"E2D59","E2D59","Mso40UIwin32client.dll",0.0103,1.0002,0.0103,1.0002
"E393B","E393B","Mso40UIwin32client.dll",0.0103,1.0002,0.0103,1.0002
"E290B","E290B","Mso40UIwin32client.dll",0.0103,1.0001,0.0103,1.0001
"10E9DC","10E9DC","Mso40UIwin32client.dll",0.0103,1.0000,0.0103,1.0000
"15726D","15726D","Mso40UIwin32client.dll",0.0103,1.0000,0.0103,1.0000
"502E1","502E1","Mso40UIwin32client.dll",0.0103,1.0000,0.0103,1.0000
"79443","79443","Mso40UIwin32client.dll",0.0103,1.0000,0.0103,1.0000
"E3A18","E3A18","Mso40UIwin32client.dll",0.0103,1.0000,0.0103,1.0000
"DF4A0","DF4A0","Mso40UIwin32client.dll",0.0103,0.9998,0.0103,0.9998
"E39DA","E39DA","Mso40UIwin32client.dll",0.0103,0.9998,0.0103,0.9998
"15517D","15517D","Mso40UIwin32client.dll",0.0103,0.9997,0.0103,0.9997
"BA459","BA459","Mso40UIwin32client.dll",0.0103,0.9997,0.0103,0.9997
"BA75C","BA75C","Mso40UIwin32client.dll",0.0103,0.9997,0.0103,0.9997
"1431FB","1431FB","Mso40UIwin32client.dll",0.0103,0.9996,0.0103,0.9996
"CD360","CD360","Mso40UIwin32client.dll",0.0103,0.9996,0.0103,0.9996
