Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"15FFA4","15FFA4","ntdll.dll",5.6033,545.9343,5.6649,551.9347
"160804","160804","ntdll.dll",3.9304,382.9390,3.9405,383.9322
"160044","160044","ntdll.dll",3.2561,317.2456,3.4592,337.0298
"160024","160024","ntdll.dll",2.2144,215.7549,2.4053,234.3510
"15FE24","15FE24","ntdll.dll",1.9028,185.3956,1.9164,186.7124
"15FF44","15FF44","ntdll.dll",1.8660,181.8086,1.8660,181.8086
"160504","160504","ntdll.dll",1.3606,132.5672,1.3606,132.5672
"160F14","160F14","ntdll.dll",1.2849,125.1857,1.2950,126.1779
"15FE44","15FE44","ntdll.dll",0.8321,81.0708,0.8321,81.0708
"160914","160914","ntdll.dll",0.8168,79.5813,0.8831,86.0457
"274EF","274EF","ntdll.dll",0.8108,78.9997,0.8108,78.9997
"162794","162794","ntdll.dll",0.7934,77.3058,0.7934,77.3058
"15FE64","15FE64","ntdll.dll",0.7187,70.0214,0.7187,70.0214
"15FDE4","15FDE4","ntdll.dll",0.6659,64.8751,0.7379,71.8966
"15FFC4","15FFC4","ntdll.dll",0.4078,39.7307,0.4693,45.7274
"27456","27456","ntdll.dll",0.3917,38.1679,0.3917,38.1679
"1603A4","1603A4","ntdll.dll",0.3507,34.1650,0.4018,39.1464
"160424","160424","ntdll.dll",0.3315,32.2936,0.3315,32.2936
"160954","160954","ntdll.dll",0.3207,31.2482,0.3207,31.2482
"27363","27363","ntdll.dll",0.2874,27.9995,0.2874,27.9995
"160104","160104","ntdll.dll",0.2827,27.5416,0.2827,27.5416
"160264","160264","ntdll.dll",0.2596,25.2976,0.2596,25.2976
"ADBAF","ADBAF","ntdll.dll",0.2557,24.9159,0.2557,24.9159
"27357","27357","ntdll.dll",0.2517,24.5196,0.2517,24.5196
"1605A4","1605A4","ntdll.dll",0.2301,22.4159,0.2301,22.4159
"162714","162714","ntdll.dll",0.2299,22.4003,0.2299,22.4003
