Name,Address,Module,SelfTimePercentage,SelfTimeMs,TotalTimePercentage,TotalTimeMs
"DED0","DED0","WinTypes.dll",0.0207,2.0128,0.0207,2.0128
"26C79","26C79","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"2934","2934","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"2B48","2B48","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"38951","38951","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"39F45","39F45","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"B0A5","B0A5","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"D54C","D54C","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"D55C","D55C","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"D65C","D65C","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"DF50","DF50","WinTypes.dll",0.0205,2.0000,0.0205,2.0000
"E10D","E10D","WinTypes.dll",0.0204,1.9919,0.0204,1.9919
"1DFD0","1DFD0","WinTypes.dll",0.0155,1.5080,0.0155,1.5080
"1E110","1E110","WinTypes.dll",0.0123,1.2026,0.0123,1.2026
"14F78","14F78","WinTypes.dll",0.0103,0.9989,0.0103,0.9989
"1E124","1E124","WinTypes.dll",0.0102,0.9953,0.0102,0.9953
"1E107","1E107","WinTypes.dll",0.0102,0.9924,0.0102,0.9924
"2420","2420","WinTypes.dll",0.0102,0.9916,0.0102,0.9916
"15D54","15D54","WinTypes.dll",0.0089,0.8673,0.0089,0.8673
